Subject,Condition,Group,SearchTDrt,SearchTOrt,SearchTDacc,SearchTOacc,Rep,Switch,TotalTrials,SwitchRate
1,1,1,794.27,740.79,0.92,0.95,807,345,1152,0.299479167
2,5,2,518.63,507.35,0.97,0.97,460,692,1152,0.600694444
3,2,1,586.21,557.02,0.99,0.97,790,362,1152,0.314236111
4,6,2,530.02,518.2,0.94,0.95,659,493,1152,0.427951389
5,3,1,607.42,595.85,0.99,0.98,590,562,1152,0.487847222
6,7,2,743.44,751.2,0.92,0.93,955,197,1152,0.171006944
7,4,1,631.09,594.15,0.97,0.98,865,287,1152,0.249131944
8,8,2,688.43,656.22,0.93,0.95,528,624,1152,0.541666667
9,1,1,916.22,849.75,0.9,0.89,654,498,1152,0.432291667
10,5,2,642.09,613.43,0.95,0.95,572,580,1152,0.503472222
11,2,1,506.98,492.98,0.98,0.98,703,449,1152,0.389756944
12,6,2,510.67,499.57,0.97,0.96,734,418,1152,0.362847222
13,3,1,718.36,657.4,0.93,0.91,859,293,1152,0.254340278
15,4,1,764.61,650.02,0.99,0.99,517,635,1152,0.551215278
16,8,2,581.22,578.52,0.93,0.94,680,472,1152,0.409722222
17,1,1,623.09,575.29,0.91,0.91,653,499,1152,0.433159722
18,5,2,697.57,692.95,0.98,0.96,643,509,1152,0.441840278
19,2,1,443.66,432.63,0.85,0.84,860,292,1152,0.253472222
20,6,2,599.33,579.53,0.84,0.85,738,414,1152,0.359375
21,3,1,696.59,658.81,0.99,0.99,612,540,1152,0.46875
22,7,2,675.35,646.78,0.95,0.96,780,372,1152,0.322916667
23,4,1,504.65,468.1,0.97,0.97,780,372,1152,0.322916667
24,8,2,625.85,624.83,0.98,0.98,709,443,1152,0.384548611
25,1,1,669.82,654.62,0.99,0.99,968,184,1152,0.159722222
26,7,2,545.1,546.96,0.8,0.8,949,203,1152,0.176215278
27,5,2,668.3,648.15,0.97,0.99,427,725,1152,0.629340278
